"number" "dsum" "count" "missing" "quant_error" "fname"
0 2.41189e+07 52263 394857 0.00519111 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Abies_alba.tif"
1 3.85771e+07 72960 374160 0.00305667 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Acer_campestre.tif"
2 1.35565e+07 45864 401256 0.0535442 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Acer_opalus.tif"
3 3.76087e+07 73834 373286 0.00366300 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Acer_platanoides.tif"
4 3.63954e+07 79280 367840 0.0103726 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Acer_pseudoplatanus.tif"
5 5.48497e+07 109342 337778 0.00371123 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Alnus_glutinosa.tif"
6 4.21649e+07 86790 360330 0.0120111 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Alnus_incana.tif"
7 1.16076e+07 30901 416219 0.00222381 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Arbutus_unedo.tif"
8 2.46795e+07 63096 384024 0.0148997 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Aria_edulis.tif"
9 5.4915e+07 96124 350996 0.00388488 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Betula_pendula.tif"
10 5.22267e+07 103592 343528 0.0141436 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Betula_pubescens.tif"
11 4.82842e+06 11797 435323 0.00925399 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Borkhausenia_intermedia.tif"
12 3.65228e+07 66687 380433 0.00229325 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Carpinus_betulus.tif"
13 1.00038e+07 23336 423784 0.00110338 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Carpinus_orientalis.tif"
14 9.5155e+06 33236 413884 0.0242441 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Castanea_sativa.tif"
15 8.26087e+06 32256 414864 0.000853544 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Celtis_australis.tif"
16 5.26103e+06 12550 434570 0.0158015 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Ceratonia_siliqua.tif"
17 2.36337e+07 53299 393821 0.00259831 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Cormus_domestica.tif"
18 4.67021e+07 79820 367300 5.44848e-05 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Corylus_avellana.tif"
19 1.18632e+07 26527 420593 0.00894537 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Cupressus_sempervirens.tif"
20 3.80061e+07 79008 368112 0.00263389 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Fagus_sylvatica.tif"
21 3.11174e+07 74647 372473 0.00546409 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Fraxinus_angustifolia.tif"
22 4.90520e+07 93157 353963 0.00837833 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Fraxinus_excelsior.tif"
23 2.2348e+07 49135 397985 0.000266721 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Fraxinus_ornus.tif"
24 2.171e+07 52511 394609 0.00719619 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Juglans_regia.tif"
25 2.50576e+06 7834 439076 0.0196467 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Juniperus_thurifera.tif"
26 3.74776e+06 13121 433999 0.0795953 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Larix_decidua.tif"
27 6.18386e+06 15478 431642 0.046165 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Laurus_nobilis.tif"
28 3.60878e+07 62985 384135 0.000165794 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Malus_sylvestris.tif"
29 1.12093e+07 22522 424598 0.00310796 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Olea_europaea.tif"
30 1.12936e+07 52996 394124 0.0240101 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Ostrya_carpinifolia.tif"
31 3.97727e+07 75024 372096 0.00625527 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Picea_abies.tif"
32 4.26133e+06 10600 436367 0.0125314 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Pinus_brutia.tif"
33 1.73302e+06 5329 441653 0.0192468 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Pinus_cembra.tif"
34 1.08138e+07 27405 419715 0.00237174 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Pinus_halepensis.tif"
35 1.90312e+07 44226 402894 0.000692983 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Pinus_nigra.tif"
36 1.39396e+07 32743 414377 0.0712094 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Pinus_pinaster.tif"
37 9.2133e+06 14868 432252 0.00166040 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Pinus_pinea.tif"
38 5.40986e+07 104118 343002 0.0111388 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Pinus_sylvestris.tif"
39 7.84754e+06 16050 431070 0.00421541 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Pistacia_lentiscus.tif"
40 1.0637e+07 23087 424033 0.00569438 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Pistacia_terebinthus.tif"
41 3.58192e+07 85282 361838 0.00648787 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Populus_alba.tif"
42 3.48525e+07 69824 377296 0.00430346 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Populus_nigra.tif"
43 5.83175e+07 106128 340992 0.00192067 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Populus_tremula.tif"
44 3.85677e+07 77828 369292 0.00932727 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Prunus_avium.tif"
45 4.37219e+07 95889 351231 0.00976700 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Prunus_padus.tif"
46 3.10390e+07 62839 384281 0.000389256 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Pyrus_communis.tif"
47 2.28876e+07 57161 389959 0.00215950 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Quercus_cerris.tif"
48 1.13721e+07 21445 425675 0.00166970 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Quercus_coccifera.tif"
49 1.60005e+07 38134 408986 0.011898 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Quercus_faginea.tif"
50 1.02451e+07 24357 422763 0.00928720 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Quercus_frainetto.tif"
51 1.62528e+07 37897 409223 0.0143418 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Quercus_ilex.tif"
52 3.98452e+07 89347 357773 0.0110108 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Quercus_petraea.tif"
53 2.83607e+07 61768 385352 0.00207868 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Quercus_pubescens.tif"
54 1.38792e+07 32622 414498 0.00788593 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biodiversity\Quercus_pyrenaica.tif"
